SerialNumber,IsPresent,Title,Authors,Edition,Volume,Year,Publisher,ISBN,Notes,RIS,NLMClassification,LCCClassification,MeSHTerms,EbookURL,,,,,,,,,,,
200,TRUE,The Public Health Consequences of Disasters,"Noji, Eric K.",,,1997,Oxford University Press,0-19-509570-7,"Editor: Eric K. Noji. El título en español 'Impacto de los Desastres en la Salud Pública' es una traducción, el ISBN corresponde al original en inglés.","TY  - BOOK|||T1  - The Public Health Consequences of Disasters|||AU  - Noji, Eric K.|||ED  - |||PY  - 1997|||PB  - Oxford University Press|||SN  - 0-19-509570-7|||N1  - Editor: Eric K. Noji. The Spanish title 'Impacto de los Desastres en la Salud Pública' is a translation; the ISBN corresponds to the English original.|||ER  - ",,,,,,,,,,,,,,,
201,TRUE,"Blumgart's Surgery of the Liver, Biliary Tract, and Pancreas","Jarnagin, William R.",5th,1,2012,Saunders Elsevier,978-1-4377-1454-8 (Set),Volumen 1. El ISBN proporcionado típicamente cubre el set completo de 2 volúmenes.,"TY  - BOOK|||T1  - Blumgart's Surgery of the Liver, Biliary Tract, and Pancreas|||AU  - Jarnagin, William R.|||ED  - 5th|||VL  - 1|||PY  - 2012|||PB  - Saunders Elsevier|||SN  - 978-1-4377-1454-8 (Set)|||N1  - This citation refers to Volume 1. The provided ISBN typically covers the complete 2-volume set. Editor: William R. Jarnagin.|||ER  - ",WI 700,RD546,Liver Diseases / surgery; Biliary Tract Diseases / surgery; Pancreatic Diseases / surgery,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090616936,,,,,,,,,,,
202,TRUE,"Blumgart's Surgery of the Liver, Biliary Tract, and Pancreas","Jarnagin, William R.",5th,2,2012,Saunders Elsevier,978-1-4377-1454-8 (Set),Volumen 2. El ISBN proporcionado típicamente cubre el set completo de 2 volúmenes.,"TY  - BOOK|||T1  - Blumgart's Surgery of the Liver, Biliary Tract, and Pancreas|||AU  - Jarnagin, William R.|||ED  - 5th|||VL  - 2|||PY  - 2012|||PB  - Saunders Elsevier|||SN  - 978-1-4377-1454-8 (Set)|||N1  - This citation refers to Volume 2. The provided ISBN may cover the complete 2-volume set. Editor: William R. Jarnagin.|||ER  - ",WI 700,RD546,Liver Diseases / surgery; Biliary Tract Diseases / surgery; Pancreatic Diseases / surgery,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090616936,,,,,,,,,,,
203,TRUE,Statistics in Medicine,"Riffenburgh, Robert H.",3rd,,2012,Academic Press,,,"TY  - BOOK|||T1  - Statistics in Medicine|||AU  - Riffenburgh, Robert H.|||ED  - 3rd|||PY  - 2012|||PB  - Academic Press|||ER  - ",WA 950,RA409,Statistics as Topic; Biometry,https://www.elsevier.com/books/statistics-in-medicine/riffenburgh/978-0-12-384864-2,,,,,,,,,,,
204,TRUE,Netter's Orthopaedic Clinical Examination: An Evidence-Based Approach,"Cleland, Joshua A.; Koppenhaver, Shane",2nd,,2011,Saunders Elsevier,,,"TY  - BOOK|||T1  - Netter's Orthopaedic Clinical Examination: An Evidence-Based Approach|||AU  - Cleland, Joshua A.|||AU  - Koppenhaver, Shane|||ED  - 2nd|||PY  - 2011|||PB  - Saunders Elsevier|||ER  - ",WE 17,RC925.7,Physical Examination; Orthopedics; Musculoskeletal System,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090509805,,,,,,,,,,,
205,TRUE,Handbook of Zoonoses: Identification and Prevention,"Colville, Joann L.; Berryhill, David L.",,,2007,Mosby (Elsevier),978-0-323-04478-7,"Año no especificado en cubierta, probable 1ra Edición (~2001).","TY  - BOOK|||T1  - Handbook of Zoonoses: Identification and Prevention|||AU  - Colville, Joann L.|||AU  - Berryhill, David L.|||PY  - 2001|||PB  - Mosby Elsevier|||SN  - 978-0-323-04478-7|||N1  - Year not specified on cover, likely 1st Ed. (~2001).|||ER  - ",WC 950,RA639,Zoonoses / prevention & control,,,,,,,,,,,,
206,TRUE,Clinical Anatomy and Physiology for the Visual System,"Remington, Lee Ann",3rd,,2012,Butterworth-Heinemann Elsevier,978-1-4377-1926-0,La información del lomo (Middleton/Herzberg) era incorrecta; el ISBN confirma a Remington como autora.,"TY  - BOOK|||T1  - Clinical Anatomy and Physiology for the Visual System|||AU  - Remington, Lee Ann|||ED  - 3rd|||PY  - 2012|||PB  - Butterworth-Heinemann Elsevier|||SN  - 978-1-4377-1926-0|||N1  - Spine information (Middleton/Herzberg) was incorrect; ISBN confirms Remington as author.|||ER  - ",,,,,,,,,,,,,,,
207,TRUE,Ultrasound: The Requisites,"Middleton, William D.; Kurtz, Alfred B.; Hertzberg, Barbara S.",2nd,,2004,Mosby Elsevier,978-0-323-01702-2,"ISBN confirma la 2ª Edición, 2004. La indicación 'Third Edition' en el lomo era incorrecta para este ejemplar.","TY  - BOOK|||T1  - Ultrasound: The Requisites|||AU  - Middleton, William D.|||AU  - Kurtz, Alfred B.|||AU  - Hertzberg, Barbara S.|||ED  - 2nd|||PY  - 2004|||PB  - Mosby Elsevier|||SN  - 978-0-323-01702-2|||KW  - The Requisites|||N1  - ISBN confirms 2nd Edition, 2004. Spine indication of 'Third Edition' was incorrect for this copy.|||ER  - ",,,,,,,,,,,,,,,
208,TRUE,Musculoskeletal Physical Examination: An Evidence-Based Approach,"Malanga, Gerard A.; Nadler, Scott F.",1st,,2006,Mosby Elsevier,,,"TY  - BOOK|||T1  - Musculoskeletal Physical Examination: An Evidence-Based Approach|||AU  - Malanga, Gerard A.|||AU  - Nadler, Scott F.|||PY  - 2006|||PB  - Mosby Elsevier|||ER  - ",WE 141,RC925.7,Physical Examination; Musculoskeletal Diseases / diagnosis,https://www.elsevier.com/books/musculoskeletal-physical-examination-an-evidence-based-approach/malanga/978-0-323-03013-1,,,,,,,,,,,
209,TRUE,Physically Based Rendering: From Theory to Implementation,"Pharr, Matt; Humphreys, Greg",2nd,,2010,Morgan Kaufmann,,,"TY  - BOOK|||T1  - Physically Based Rendering: From Theory to Implementation|||AU  - Pharr, Matt|||AU  - Humphreys, Greg|||ED  - 2nd|||PY  - 2010|||PB  - Morgan Kaufmann|||ER  - ",,T385,"Computer Graphics; Image Processing, Computer-Assisted",https://pbr-book.org/,,,,,,,,,,,
